11027 12330 1000
7962 3969 10842 3969
7051 3975 7051 3975
7547 3992 9812 3992
1039 3998 6150 3998
3223 4005 8563 4005
8438 4023 8438 4023
703 4023 9227 4023
4097 4031 8951 4031
6230 4047 6230 4047
5041 4050 5244 4050
8807 4060 8807 4060
5041 4075 6160 4075
1112 4085 9581 4085
9368 4093 10136 4093
1706 4110 4013 4110
7701 4121 9542 4121
4891 4129 4891 4129
8976 4147 8976 4147
8514 4150 8514 4150
436 4150 10626 4150
3155 4156 9970 4156
3303 4158 3303 4158
10304 4172 10304 4172
3695 4182 8856 4182
7013 4194 7013 4194
2501 4208 7944 4208
5736 4220 5736 4220
6216 4223 6216 4223
5667 4225 5667 4225
7042 4242 10932 4242
3766 4249 9721 4249
2184 4266 9516 4266
10185 4280 10185 4280
5195 4288 5195 4288
3222 4299 3222 4299
3535 4310 3535 4310
7849 4311 7849 4311
7865 4318 8369 4318
7064 4326 7064 4326
10343 4344 10343 4344
9451 4349 9451 4349
9150 4365 9150 4365
9179 4371 9540 4371
4373 4382 8148 4382
1011 4401 5923 4401
4234 4407 4234 4407
2782 4410 7200 4410
9271 4414 9271 4414
2778 4426 2778 4426
621 4431 9965 4431
3734 4433 3734 4433
8367 4440 8367 4440
2564 4457 6395 4457
9016 4457 9016 4457
6134 4458 10891 4458
10213 4476 10213 4476
305 4488 710 4488
594 4503 6967 4503
4663 4519 7737 4519
2168 4523 2168 4523
7445 4534 9414 4534
10164 4537 10164 4537
2296 4556 7796 4556
9334 4559 9334 4559
5855 4567 5855 4567
8600 4578 8600 4578
6771 4597 7159 4597
399 4600 8093 4600
9806 4606 9806 4606
2936 4618 8888 4618
8820 4621 8820 4621
6460 4634 6460 4634
2241 4636 3809 4636
8618 4647 9628 4647
3183 4664 3183 4664
10971 4676 10971 4676
7690 4682 7690 4682
4124 4692 4124 4692
10444 4695 10444 4695
1133 4703 6125 4703
5251 4708 5286 4708
7113 4721 9119 4721
9166 4732 9166 4732
7049 4744 7049 4744
8659 4752 8659 4752
5193 4766 6067 4766
7952 4777 7952 4777
9136 4780 9136 4780
3572 4799 9357 4799
3960 4818 4753 4818
4022 4821 10116 4821
8952 4838 8952 4838
119 4853 427 4853
3219 4855 9182 4855
4036 4860 8082 4860
1205 4872 7258 4872
10575 4878 10989 4878
6211 4892 9931 4892
5956 4894 5956 4894
647 4910 6323 4910
6630 4914 6630 4914
9147 4927 9536 4927
6150 4933 6150 4933
4313 4947 8242 4947
10234 4960 10234 4960
6907 4977 6907 4977
1053 4996 10097 4996
7881 4996 7881 4996
3501 5000 6627 5000
7860 5015 10664 5015
10790 5020 10790 5020
3834 5028 4136 5028
8578 5035 8578 5035
6096 5048 9618 5048
5840 5056 10311 5056
187 5064 4524 5064
3413 5083 6582 5083
8953 5098 8953 5098
1327 5115 1327 5115
10166 5132 10166 5132
7983 5137 7983 5137
10739 5142 10963 5142
1954 5152 6954 5152
10910 5171 10910 5171
10352 5188 10510 5188
3971 5191 4574 5191
7569 5192 7569 5192
2169 5207 10935 5207
1905 5213 6339 5213
8478 5222 8478 5222
7842 5241 9150 5241
4238 5244 9054 5244
7592 5262 7592 5262
2071 5279 7681 5279
2774 5280 7439 5280
1354 5283 2751 5283
1470 5291 5346 5291
6927 5297 7158 5297
806 5300 806 5300
2487 5313 3926 5313
4591 5317 8566 5317
8041 5319 8041 5319
3551 5327 3551 5327
2084 5333 5229 5333
5006 5347 5006 5347
7430 5365 7430 5365
6054 5371 9612 5371
5423 5372 9203 5372
1342 5382 3865 5382
10394 5398 10394 5398
7824 5401 7824 5401
9844 5405 9844 5405
683 5408 7934 5408
7186 5422 7186 5422
6760 5429 10527 5429
5385 5434 7217 5434
605 5435 2299 5435
1911 5453 7463 5453
3999 5455 3999 5455
1068 5473 1397 5473
8208 5480 8208 5480
2618 5482 7102 5482
7907 5490 7907 5490
2079 5494 2079 5494
934 5495 5017 5495
7133 5496 7385 5496
5964 5512 8570 5512
3929 5526 6769 5526
4257 5541 4257 5541
1264 5550 8679 5550
8742 5561 10247 5561
4458 5574 6994 5574
6702 5592 6702 5592
1762 5602 6466 5602
4595 5612 7806 5612
10914 5612 10914 5612
4819 5615 6106 5615
10025 5626 10025 5626
9270 5635 9270 5635
10232 5635 10232 5635
8524 5637 8524 5637
4419 5650 7195 5650
9700 5650 9700 5650
1329 5658 1763 5658
7970 5674 7970 5674
1993 5675 1993 5675
2245 5685 6087 5685
3660 5699 3907 5699
10614 5714 10614 5714
2988 5724 3147 5724
10654 5726 10654 5726
5413 5727 5413 5727
9719 5741 9719 5741
9636 5747 10645 5747
10221 5762 10221 5762
10351 5774 10351 5774
9002 5790 9002 5790
55 5806 8065 5806
5104 5813 7062 5813
3346 5818 4159 5818
10112 5826 10112 5826
3069 5836 3069 5836
8229 5837 8229 5837
4319 5839 4319 5839
6601 5842 8893 5842
3515 5842 9973 5842
10658 5855 10658 5855
8576 5863 8576 5863
1686 5872 2924 5872
1214 5881 4187 5881
2111 5882 7785 5882
3744 5892 3744 5892
9065 5898 9065 5898
1766 5911 7520 5911
3474 5917 3474 5917
7785 5922 7785 5922
8011 5930 8011 5930
2368 5933 7851 5933
3487 5946 4806 5946
7959 5958 7959 5958
4263 5962 8459 5962
6620 5978 6620 5978
4615 5989 5918 5989
8618 5999 8618 5999
4081 6013 9201 6013
5873 6021 5873 6021
6014 6035 6014 6035
3102 6052 7892 6052
347 6067 10117 6067
5162 6074 5162 6074
3844 6083 5210 6083
10208 6089 10208 6089
5281 6090 8862 6090
3516 6109 3516 6109
2884 6119 8920 6119
5597 6122 8277 6122
1450 6140 8480 6140
9920 6148 9920 6148
592 6158 4079 6158
3643 6174 3643 6174
7311 6187 7311 6187
862 6187 862 6187
3095 6192 8240 6192
57 6193 9217 6193
10466 6195 10466 6195
7580 6211 7580 6211
546 6218 8824 6218
5199 6229 9882 6229
7409 6232 7409 6232
5191 6236 5191 6236
2010 6243 2178 6243
1680 6253 5452 6253
2221 6264 9932 6264
7255 6283 7255 6283
9990 6297 9990 6297
1337 6303 4079 6303
6345 6318 9494 6318
10607 6336 10607 6336
7387 6338 9866 6338
772 6351 772 6351
10390 6353 10390 6353
8417 6354 9149 6354
10314 6361 10314 6361
9991 6368 9991 6368
5696 6369 8259 6369
4567 6386 4567 6386
5222 6396 9548 6396
3386 6404 4958 6404
1092 6423 7143 6423
1289 6436 9312 6436
905 6437 4210 6437
992 6452 6011 6452
7638 6454 7638 6454
6854 6465 6854 6465
6563 6483 8275 6483
4213 6498 6917 6498
10221 6501 10221 6501
10696 6501 10696 6501
4840 6509 4840 6509
10592 6511 10592 6511
7808 6525 9060 6525
6793 6536 6793 6536
10209 6551 10209 6551
2331 6566 2331 6566
2875 6575 2875 6575
4462 6575 9065 6575
1175 6577 4990 6577
3607 6586 3607 6586
4549 6603 6680 6603
10421 6615 10421 6615
2261 6617 3203 6617
4658 6631 4658 6631
9729 6633 9729 6633
591 6652 8150 6652
2798 6653 5341 6653
7468 6667 8756 6667
10680 6676 10680 6676
7636 6683 7636 6683
4208 6687 9779 6687
6095 6687 6095 6687
5051 6698 8829 6698
7163 6705 7163 6705
8881 6714 8881 6714
3367 6726 9521 6726
5077 6738 10379 6738
5186 6753 5186 6753
5047 6765 10454 6765
2424 6771 8314 6771
6852 6779 6852 6779
4132 6797 5907 6797
2396 6806 2396 6806
4835 6821 5672 6821
7458 6837 7458 6837
2956 6853 6026 6853
4646 6871 9283 6871
8906 6888 9179 6888
6888 6897 6888 6897
1991 6911 4706 6911
9371 6928 9371 6928
10651 6931 10651 6931
5391 6948 7432 6948
3003 6963 8450 6963
9516 6971 9516 6971
6689 6977 7142 6977
3064 6979 5247 6979
10654 6996 10654 6996
7861 7003 9163 7003
3400 7021 3400 7021
5132 7033 5132 7033
3184 7052 7831 7052
9364 7054 9364 7054
2676 7067 8588 7067
3161 7084 3161 7084
6440 7099 10170 7099
3924 7107 5722 7107
9810 7116 9810 7116
9048 7119 9048 7119
3985 7130 6714 7130
603 7137 1034 7137
3988 7153 8208 7153
10928 7154 10928 7154
8390 7167 8390 7167
5167 7181 5167 7181
9518 7181 9518 7181
10051 7187 10051 7187
250 7188 949 7188
5121 7204 5121 7204
941 7223 6370 7223
3981 7234 9363 7234
9652 7252 9652 7252
5665 7253 5890 7253
3908 7262 3908 7262
10298 7264 10298 7264
6604 7271 6604 7271
3677 7285 5919 7285
2330 7293 9777 7293
6210 7304 6210 7304
7161 7314 9600 7314
478 7327 4981 7327
7129 7346 7129 7346
1448 7348 2062 7348
2864 7361 6432 7361
6033 7363 6033 7363
6419 7369 6419 7369
7711 7370 9104 7370
6445 7379 9492 7379
2064 7391 5672 7391
5270 7404 5270 7404
2583 7408 10682 7408
10826 7424 10826 7424
4509 7435 4509 7435
314 7447 4633 7447
965 7450 4737 7450
5927 7460 5927 7460
6284 7474 6284 7474
10395 7476 10395 7476
4545 7483 10197 7483
4696 7498 4696 7498
6941 7502 6941 7502
3116 7503 7067 7503
7893 7522 7893 7522
9605 7534 9605 7534
6922 7546 7376 7546
4601 7551 4601 7551
5647 7555 5647 7555
6784 7570 8621 7570
10714 7583 10714 7583
10135 7586 10942 7586
4489 7594 9997 7594
6957 7600 6957 7600
3590 7614 3994 7614
2871 7631 5804 7631
8317 7638 8317 7638
7065 7644 10145 7644
113 7661 1959 7661
10847 7672 10847 7672
10896 7684 10896 7684
7658 7700 7658 7700
822 7718 3318 7718
4701 7718 4701 7718
7864 7724 7864 7724
10994 7725 10994 7725
4173 7729 4173 7729
5584 7747 10824 7747
295 7756 9357 7756
5119 7760 5119 7760
3364 7763 10671 7763
1171 7765 10659 7765
7707 7780 7707 7780
25 7797 8262 7797
4543 7813 4543 7813
10876 7816 10876 7816
10391 7822 10391 7822
9933 7833 9933 7833
2661 7841 2661 7841
10389 7854 10389 7854
5940 7866 8912 7866
10920 7877 10920 7877
1531 7882 7761 7882
8399 7883 8399 7883
5363 7900 7885 7900
175 7906 5741 7906
10605 7913 10605 7913
4537 7925 5028 7925
7729 7937 9586 7937
5226 7939 10635 7939
6720 7950 9671 7950
1367 7958 1367 7958
5310 7967 5310 7967
4963 7980 7906 7980
1580 7982 7753 7982
8958 8000 8958 8000
10282 8013 10282 8013
565 8032 5116 8032
7248 8033 7248 8033
4436 8034 10476 8034
1133 8053 7621 8053
9376 8058 9376 8058
8285 8073 8285 8073
4936 8087 6637 8087
10543 8093 10837 8093
2810 8093 3667 8093
640 8107 8461 8107
10301 8120 10301 8120
5208 8127 5208 8127
3351 8134 4627 8134
6438 8140 9795 8140
3895 8159 5434 8159
10319 8172 10319 8172
3473 8173 5824 8173
9816 8179 9816 8179
9531 8184 9531 8184
6288 8198 9465 8198
3188 8212 5807 8212
8387 8220 10476 8220
914 8220 4018 8220
10106 8224 10106 8224
7975 8228 10679 8228
6077 8236 8837 8236
8837 8250 8837 8250
6312 8254 10647 8254
9392 8254 9392 8254
9577 8258 9577 8258
4799 8261 4799 8261
987 8263 8458 8263
8144 8265 8144 8265
9489 8268 9489 8268
5534 8283 5534 8283
6806 8292 6806 8292
5172 8301 6352 8301
4015 8320 4015 8320
9255 8336 9255 8336
10440 8341 10440 8341
7334 8344 9374 8344
8412 8363 8412 8363
1095 8363 10476 8363
8216 8373 9083 8373
8807 8378 8807 8378
3838 8395 6699 8395
8467 8396 8467 8396
2563 8415 2946 8415
2059 8417 6584 8417
3164 8433 8450 8433
7110 8444 8318 8444
6061 8448 10471 8448
5028 8454 9547 8454
9089 8455 9089 8455
396 8456 3419 8456
10513 8472 10513 8472
3964 8489 4304 8489
9988 8500 9988 8500
2119 8515 5877 8515
9483 8524 9483 8524
4643 8540 4643 8540
1145 8544 7269 8544
8990 8563 8990 8563
186 8571 5235 8571
6965 8576 7777 8576
3587 8578 3587 8578
8800 8581 9793 8581
10951 8593 10951 8593
5217 8595 6981 8595
10148 8601 10148 8601
9332 8608 10110 8608
140 8619 2646 8619
7330 8631 7330 8631
5210 8638 5210 8638
7301 8640 7301 8640
3853 8644 3853 8644
6575 8661 6575 8661
6045 8672 6045 8672
1208 8690 10876 8690
6230 8709 7110 8709
1691 8726 6336 8726
927 8728 927 8728
8026 8747 8026 8747
4499 8761 4499 8761
10566 8773 10566 8773
6355 8775 6355 8775
7053 8794 7053 8794
10709 8804 10779 8804
3033 8808 7360 8808
6710 8810 6710 8810
5615 8810 5615 8810
9863 8811 9863 8811
647 8816 7596 8816
268 8821 7698 8821
2144 8840 10408 8840
1390 8851 8116 8851
2794 8868 2794 8868
3414 8870 3414 8870
6352 8879 7174 8879
8229 8898 10165 8898
6853 8911 7720 8911
6031 8913 6031 8913
8639 8927 8639 8927
817 8935 8146 8935
7322 8946 7322 8946
279 8952 7531 8952
737 8964 5119 8964
10666 8972 10666 8972
4104 8978 9672 8978
5110 8988 6205 8988
10349 8989 10349 8989
7148 9005 7148 9005
8173 9005 8173 9005
10873 9014 10873 9014
10742 9027 10742 9027
2134 9027 2134 9027
7736 9042 7736 9042
9653 9044 9653 9044
768 9047 768 9047
7178 9063 7178 9063
0 0 0
